competitor_id,name,country,country_code,abbreviation,raw_json
sr:competitor:220590,"Huang, Tsung-Hao",Chinese Taipei,TPE,HUA,"{""id"": ""sr:competitor:220590"", ""name"": ""Huang, Tsung-Hao"", ""country"": ""Chinese Taipei"", ""country_code"": ""TPE"", ""abbreviation"": ""HUA""}"
sr:competitor:54609,"Arias, Boris",Bolivia,BOL,ARI,"{""id"": ""sr:competitor:54609"", ""name"": ""Arias, Boris"", ""country"": ""Bolivia"", ""country_code"": ""BOL"", ""abbreviation"": ""ARI""}"
sr:competitor:106755,"Rublev, Andrey",Neutral,,RUB,"{""id"": ""sr:competitor:106755"", ""name"": ""Rublev, Andrey"", ""country"": ""Neutral"", ""abbreviation"": ""RUB""}"
sr:competitor:534043,"Darderi, Luciano",Italy,ITA,DAR,"{""id"": ""sr:competitor:534043"", ""name"": ""Darderi, Luciano"", ""country"": ""Italy"", ""country_code"": ""ITA"", ""abbreviation"": ""DAR""}"
sr:competitor:348308,"Sheehy, Joshua",USA,USA,SHE,"{""id"": ""sr:competitor:348308"", ""name"": ""Sheehy, Joshua"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""SHE""}"
sr:competitor:853643,"Romano, Filippo",Italy,ITA,ROM,"{""id"": ""sr:competitor:853643"", ""name"": ""Romano, Filippo"", ""country"": ""Italy"", ""country_code"": ""ITA"", ""abbreviation"": ""ROM""}"
sr:competitor:43319,"Duran, Guillermo",Argentina,ARG,DUR,"{""id"": ""sr:competitor:43319"", ""name"": ""Duran, Guillermo"", ""country"": ""Argentina"", ""country_code"": ""ARG"", ""abbreviation"": ""DUR""}"
sr:competitor:102339,"Van de Zandschulp, Botic",Netherlands,NLD,VAN,"{""id"": ""sr:competitor:102339"", ""name"": ""Van de Zandschulp, Botic"", ""country"": ""Netherlands"", ""country_code"": ""NLD"", ""abbreviation"": ""VAN""}"
sr:competitor:126622,"Ruehl, Tim",Germany,DEU,RUE,"{""id"": ""sr:competitor:126622"", ""name"": ""Ruehl, Tim"", ""country"": ""Germany"", ""country_code"": ""DEU"", ""abbreviation"": ""RUE""}"
sr:competitor:1015089,"Winegar, Theodore",USA,USA,WIN,"{""id"": ""sr:competitor:1015089"", ""name"": ""Winegar, Theodore"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""WIN""}"
sr:competitor:251091,"Noguchi, Rio",Japan,JPN,NOG,"{""id"": ""sr:competitor:251091"", ""name"": ""Noguchi, Rio"", ""country"": ""Japan"", ""country_code"": ""JPN"", ""abbreviation"": ""NOG""}"
sr:competitor:85877,"Villanueva, Gonzalo",Argentina,ARG,VIL,"{""id"": ""sr:competitor:85877"", ""name"": ""Villanueva, Gonzalo"", ""country"": ""Argentina"", ""country_code"": ""ARG"", ""abbreviation"": ""VIL""}"
sr:competitor:60920,"Nedunchezhiyan, Jeevan",India,IND,NED,"{""id"": ""sr:competitor:60920"", ""name"": ""Nedunchezhiyan, Jeevan"", ""country"": ""India"", ""country_code"": ""IND"", ""abbreviation"": ""NED""}"
sr:competitor:76361,"Kadhe, Arjun",India,IND,KAD,"{""id"": ""sr:competitor:76361"", ""name"": ""Kadhe, Arjun"", ""country"": ""India"", ""country_code"": ""IND"", ""abbreviation"": ""KAD""}"
sr:competitor:106395,"Ricca, Giorgio",Italy,ITA,RIC,"{""id"": ""sr:competitor:106395"", ""name"": ""Ricca, Giorgio"", ""country"": ""Italy"", ""country_code"": ""ITA"", ""abbreviation"": ""RIC""}"
sr:competitor:272273,"Mansilla Diez, Mario",Spain,ESP,MAN,"{""id"": ""sr:competitor:272273"", ""name"": ""Mansilla Diez, Mario"", ""country"": ""Spain"", ""country_code"": ""ESP"", ""abbreviation"": ""MAN""}"
sr:competitor:448357,"Spizzirri, Eliot",USA,USA,SPI,"{""id"": ""sr:competitor:448357"", ""name"": ""Spizzirri, Eliot"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""SPI""}"
sr:competitor:227358,"Walton, Adam",Australia,AUS,WAL,"{""id"": ""sr:competitor:227358"", ""name"": ""Walton, Adam"", ""country"": ""Australia"", ""country_code"": ""AUS"", ""abbreviation"": ""WAL""}"
sr:competitor:185434,"Rodriguez Taverna, Santiago",Argentina,ARG,ROD,"{""id"": ""sr:competitor:185434"", ""name"": ""Rodriguez Taverna, Santiago"", ""country"": ""Argentina"", ""country_code"": ""ARG"", ""abbreviation"": ""ROD""}"
sr:competitor:405977,"Schoolkate, Tristan",Australia,AUS,SCH,"{""id"": ""sr:competitor:405977"", ""name"": ""Schoolkate, Tristan"", ""country"": ""Australia"", ""country_code"": ""AUS"", ""abbreviation"": ""SCH""}"
sr:competitor:154490,"Pearson, Kody",Australia,AUS,PEA,"{""id"": ""sr:competitor:154490"", ""name"": ""Pearson, Kody"", ""country"": ""Australia"", ""country_code"": ""AUS"", ""abbreviation"": ""PEA""}"
sr:competitor:69362,"Mansouri, Skander",Tunisia,TUN,MAN,"{""id"": ""sr:competitor:69362"", ""name"": ""Mansouri, Skander"", ""country"": ""Tunisia"", ""country_code"": ""TUN"", ""abbreviation"": ""MAN""}"
sr:competitor:64920,"Myneni, Saketh",India,IND,MYN,"{""id"": ""sr:competitor:64920"", ""name"": ""Myneni, Saketh"", ""country"": ""India"", ""country_code"": ""IND"", ""abbreviation"": ""MYN""}"
